speaker,word,n
BENNET,country,11
BENNET,trump,9
BENNET,donald,8
BENNET,people,8
BENNET,president,8
BENNET,trillion,7
BENNET,america,6
BENNET,insurance,6
BENNET,kids,6
BENNET,public,6
BIDEN,plan,23
BIDEN,people,20
BIDEN,president,20
BIDEN,insurance,10
BIDEN,matter,10
BIDEN,country,9
BIDEN,senator,9
BIDEN,time,9
BIDEN,america,8
BIDEN,buy,8
BOOKER,president,14
BOOKER,donald,11
BOOKER,people,11
BOOKER,trump,11
BOOKER,country,9
BOOKER,city,8
BOOKER,common,8
BOOKER,vice,8
BOOKER,united,7
BOOKER,civil,5
CASTRO,folks,7
CASTRO,justice,7
CASTRO,president,7
CASTRO,nation,6
CASTRO,immigration,5
CASTRO,people,5
CASTRO,plan,5
CASTRO,agree,4
CASTRO,family,4
CASTRO,forward,4
DE BLASIO,people,23
DE BLASIO,president,16
DE BLASIO,insurance,11
DE BLASIO,health,10
DE BLASIO,party,10
DE BLASIO,vice,10
DE BLASIO,american,8
DE BLASIO,donald,8
DE BLASIO,trump,8
DE BLASIO,justice,7
GABBARD,people,17
GABBARD,country,14
GABBARD,president,8
GABBARD,system,8
GABBARD,bring,6
GABBARD,american,5
GABBARD,deployed,5
GABBARD,al,4
GABBARD,care,4
GABBARD,immigration,4
GILLIBRAND,president,12
GILLIBRAND,women,12
GILLIBRAND,people,7
GILLIBRAND,trump,7
GILLIBRAND,care,6
GILLIBRAND,family,6
GILLIBRAND,home,6
GILLIBRAND,impossible,6
GILLIBRAND,health,5
GILLIBRAND,vice,5
HARRIS,plan,30
HARRIS,people,22
HARRIS,united,16
HARRIS,president,14
HARRIS,justice,13
HARRIS,care,12
HARRIS,america,11
HARRIS,american,11
HARRIS,health,10
HARRIS,medicare,10
INSLEE,proud,10
INSLEE,people,7
INSLEE,president,6
INSLEE,climate,4
INSLEE,governor,4
INSLEE,judgment,4
INSLEE,stand,4
INSLEE,war,4
INSLEE,chance,3
INSLEE,clean,3
YANG,american,9
YANG,jobs,6
YANG,month,6
YANG,start,6
YANG,women,6
YANG,care,5
YANG,donald,5
YANG,home,5
YANG,people,5
YANG,president,5
