night,bigram,n,total,tf,idf,tf_idf
first,student loan,7,21356,0.0035211267605633804,0.6931471805599453,0.0024406590864786805
first,background checks,6,21356,0.0030181086519114686,0.6931471805599453,0.002091993502696012
first,universal background,6,21356,0.0030181086519114686,0.6931471805599453,0.002091993502696012
first,american workers,5,21356,0.0025150905432595573,0.6931471805599453,0.0017433279189133432
first,impossible promises,5,21356,0.0025150905432595573,0.6931471805599453,0.0017433279189133432
first,loan debt,5,21356,0.0025150905432595573,0.6931471805599453,0.0017433279189133432
first,private sector,5,21356,0.0025150905432595573,0.6931471805599453,0.0017433279189133432
first,capital gains,4,21356,0.002012072434607646,0.6931471805599453,0.0013946623351306748
first,chief manufacturing,4,21356,0.002012072434607646,0.6931471805599453,0.0013946623351306748
first,citizens united,4,21356,0.002012072434607646,0.6931471805599453,0.0013946623351306748
second,vice president,33,18622,0.022510231923601638,0.6931471805599453,0.015602903791594949
second,american families,9,18622,0.006139154160982265,0.6931471805599453,0.004255337397707714
second,justice department,6,18622,0.004092769440654843,0.6931471805599453,0.002836891598471809
second,president biden,6,18622,0.004092769440654843,0.6931471805599453,0.002836891598471809
second,senator harris,6,18622,0.004092769440654843,0.6931471805599453,0.002836891598471809
second,death penalty,5,18622,0.0034106412005457027,0.6931471805599453,0.0023640763320598407
second,employer based,5,18622,0.0034106412005457027,0.6931471805599453,0.0023640763320598407
second,eric garner,5,18622,0.0034106412005457027,0.6931471805599453,0.0023640763320598407
second,al qaida,4,18622,0.002728512960436562,0.6931471805599453,0.0018912610656478725
second,based insurance,4,18622,0.002728512960436562,0.6931471805599453,0.0018912610656478725
